model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.904±0.024,0.829±0.010,0.831±0.018,0.831±0.018,0.65±0.03s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.949±0.025,0.885±0.012,0.854±0.011,0.854±0.011,0.77±0.07s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.922±0.022,0.892±0.008,0.856±0.013,0.856±0.013,0.66±0.07s

// full
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.937±0.039,0.886±0.010,0.858±0.016,0.858±0.016,1.00±0.62s
// w/o feat
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.930±0.006,0.919±0.012,0.856±0.012,0.856±0.012,1.35±0.36s
// w/o label
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.961±0.014,0.804±0.016,0.804±0.011,0.804±0.011,0.69±0.02s
// w/o dynamic gate
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.938±0.041,0.887±0.011,0.856±0.013,0.856±0.013,1.08±0.69s

// LP
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.965±0.017,0.849±0.014,0.845±0.012,0.845±0.012,0.82±0.34s
// Mean
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.950±0.045,0.896±0.009,0.851±0.013,0.851±0.013,1.54±1.16s


// struct missing
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.964±0.008,0.904±0.013,0.853±0.014,0.853±0.014,1.76±0.40s
