model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.874±0.019,0.859±0.012,0.866±0.009,0.866±0.009,0.65±0.03s
LRGCN,Cora,uniform,0.2,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.787±0.013,0.854±0.011,0.849±0.017,0.849±0.017,0.64±0.02s
LRGCN,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.711±0.012,0.828±0.018,0.834±0.008,0.834±0.008,0.63±0.02s
LRGCN,Cora,uniform,0.4,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.651±0.014,0.804±0.013,0.817±0.019,0.817±0.019,0.63±0.03s
LRGCN,Cora,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.620±0.017,0.759±0.019,0.769±0.015,0.769±0.015,0.63±0.02s

LRGCN,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.840±0.006,0.886±0.012,0.870±0.012,0.870±0.012,0.62±0.04s
LRGCN,Cora,uniform,0.2,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.754±0.007,0.883±0.007,0.866±0.015,0.866±0.015,0.62±0.02s
LRGCN,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.672±0.010,0.881±0.008,0.849±0.010,0.849±0.010,0.63±0.03s
LRGCN,Cora,uniform,0.4,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.599±0.006,0.874±0.009,0.838±0.015,0.838±0.015,0.61±0.02s
LRGCN,Cora,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.539±0.020,0.867±0.005,0.823±0.011,0.823±0.011,0.61±0.03s
