model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.0,0.0,0.99,1.0,0.854±0.146,0.539±0.053,0.516±0.066,0.516±0.066,0.48±0.19s
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.0,0.0,0.99,1.0,0.929±0.092,0.666±0.057,0.524±0.059,0.524±0.059,0.44±0.07s

// full
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.0,0.0,0.99,1.0,0.917±0.108,0.659±0.055,0.523±0.058,0.523±0.058,0.44±0.06s
// w/o feat
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.0,0.0,0.99,1.0,0.830±0.053,0.739±0.055,0.522±0.065,0.522±0.065,0.53±0.12s
// w/o label
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.0,0.0,0.99,1.0,0.866±0.143,0.505±0.057,0.444±0.063,0.444±0.063,0.40±0.03s
// w/o dynamic gate
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.0,0.0,0.99,1.0,0.920±0.094,0.672±0.059,0.516±0.059,0.516±0.059,0.45±0.13s

// LP
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.0,0.0,0.99,1.0,0.603±0.191,0.452±0.048,0.423±0.059,0.423±0.059,0.40±0.04s
// Mean
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.0,0.0,0.99,1.0,0.938±0.083,0.661±0.048,0.502±0.055,0.502±0.055,0.48±0.15s
