model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,1.0,0.0,0.0,0.99,1.0,0.964±0.009,0.917±0.005,0.916±0.006,0.916±0.006,14.57±1.84s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,1.0,0.0,0.0,0.99,1.0,0.975±0.015,0.926±0.004,0.919±0.005,0.919±0.005,28.07±14.41s

// full
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.971±0.014,0.928±0.004,0.924±0.004,0.924±0.004,33.79±13.87s
// w/o feat
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.931±0.004,0.930±0.004,0.923±0.006,0.923±0.006,52.99±12.01s
// w/o label
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.990±0.006,0.899±0.005,0.890±0.007,0.890±0.007,34.26±8.89s
// w/o dynamic gate
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.973±0.014,0.929±0.004,0.922±0.004,0.922±0.004,41.28±14.72s

// LP
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.995±0.003,0.918±0.005,0.913±0.006,0.913±0.006,32.45±9.37s
// Mean
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.973±0.013,0.934±0.005,0.924±0.005,0.924±0.005,30.96±15.47s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.0,0.0,0.99,1.0,0.969±0.014,0.929±0.004,0.924±0.005,0.924±0.005,31.61±12.73s
