model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.0,0.0,0.99,1.0,0.907±0.095,0.677±0.069,0.666±0.064,0.666±0.064,0.52±0.25s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.0,0.0,0.99,1.0,0.936±0.065,0.774±0.053,0.699±0.056,0.699±0.056,0.43±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.0,0.0,0.99,1.0,0.941±0.061,0.772±0.057,0.696±0.058,0.696±0.058,0.44±0.07s

// full
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,4,0.125,0.0,0.0,0.99,1.0,0.942±0.063,0.762±0.055,0.696±0.058,0.696±0.058,0.45±0.10s
// w/o feat
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,4,0.125,0.0,0.0,0.99,1.0,0.941±0.033,0.860±0.043,0.693±0.058,0.693±0.058,0.59±0.15s
// w/o label
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,4,0.125,0.0,0.0,0.99,1.0,0.903±0.109,0.603±0.055,0.576±0.071,0.576±0.071,0.41±0.07s
// w/o dynamic gate
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,4,0.125,0.0,0.0,0.99,1.0,0.946±0.070,0.764±0.056,0.691±0.061,0.691±0.061,0.49±0.16s

// LP
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.0,0.0,0.99,1.0,0.682±0.181,0.547±0.055,0.544±0.062,0.544±0.062,0.40±0.02s
// Mean
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,4,0.125,0.0,0.0,0.99,1.0,0.957±0.046,0.763±0.051,0.690±0.061,0.690±0.061,0.45±0.10s
