model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.915±0.114,0.613±0.055,0.568±0.063,0.568±0.063,0.45±0.08s
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.961±0.051,0.771±0.038,0.600±0.052,0.600±0.052,0.44±0.06s
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.978±0.034,0.768±0.046,0.606±0.054,0.606±0.054,0.49±0.15s
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.970±0.042,0.774±0.046,0.602±0.052,0.602±0.052,0.45±0.09s

// full
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.0,0.0,0.99,1.0,0.949±0.067,0.743±0.047,0.611±0.050,0.611±0.050,0.45±0.07s
// w/o feat
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.0,0.0,0.99,1.0,0.885±0.035,0.851±0.036,0.572±0.051,0.572±0.051,0.61±0.14s
// w/o label
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.0,0.0,0.99,1.0,0.896±0.093,0.588±0.051,0.547±0.058,0.547±0.058,0.42±0.09s
// w/o dynamic gate
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.0,0.0,0.99,1.0,0.954±0.067,0.753±0.044,0.601±0.049,0.601±0.049,0.50±0.14s

// LP
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.0,0.0,0.99,1.0,0.785±0.130,0.506±0.047,0.473±0.057,0.473±0.057,0.41±0.04s
// Mean
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.0,0.0,0.99,1.0,0.968±0.052,0.742±0.043,0.593±0.052,0.593±0.052,0.48±0.09s
